词汇,词性,词义/用法,变位 / 特殊阴阳性,是否收藏
archéologie,n.f,,,
art ,n.m,,,
avion,n.m.,,,
autour de,,,,
bateau,n.m,,,
billet ,n.m.,,,
bise ,n.f.,,,
carte ,n.f.,,,
centre ,n.m.,,,
château,n.m.,,,
"contemporain,e",adj.,,,
destination,n.f.,,,
"gratuit,e",adj.,,,
hôtel ,n.m.,hôtel de ville,,
institut,n.m.,,,
intéressant,adj.,,,
kilomètre,n.m.,,,
Marseille,,,,
"méditerraniéen,ne",adj.,,,
office,n.m.,,,
palais,n.m.,,,
port,n.m.,,,
"postal,e",adj.,carte postale ,,
prison ,n.f.,,,
quai,n.m.,,,
quartier,n.m.,,,
tourisme ,n.m.,,,
train,n.m.,,,
vieux,adj. ,,"vieille, vieil",
vitesse ,n.f.,,,
,,,,
aller ,n.m.,aller retour,,
apès-midi,n.m.,,,
classe,n.f.,,,
"complete,ète",adj.,,,
départ,n.m.,,,
"désolé,e",adj.,,,
deuxième,adj.,,,
dimanche,n.m.,,,
"employé,e",n.,,,
gare,n.f.,,,
heure,n.f.,,,
horaire,n.m.,,,
jeudi,n.m.,,,
lundi,n.m.,,,
mardi,n.m.,,,
matin,n.m.,,,
mercredi,n.m.,,,
pendule ,n.f.,,,
place,n.f.,,,
"porchain,e",adj.,,,
quand,adv.,,,
renseignement,n.m.,,,
samedi,n.m. ,,,
simple,adj.,,,
tarif,n.m.,,,
vendredi,n.m.,,,
voie,n.f.,,,
Leçon 14,,,,
"acteur,trice",n.,,,
agenda,n.m.,,,
cabinet,n.m.,,,
ben,,,,
coiffure,n.f.,,,
commencer,v.,v.i. Le cour commence / v.t. On commence le cour.,,
,,commencer à faire qch.,,
docteur,n.m.,,,
donc,conj.,,,
faire ,v.t.,"Je fais, Tu fais, Il/Elle fait, Nous faisons, Vous faisez, Ils/Elles font",,
guitare,n.f.,,,
"informaticien,ne",n.,,,
journal,n.m.,,,
là,adv.,,,
Londres,,,,
mais,conj.,,,
passer,v.t.,度过 passer le week-end / Passez de bonnes vacances!,,
possible,adj.,,,
"quel,le",,,,
rentrer,v.i.,rentrer chez-moi. / Il rentre au bureau à midi.,,
reste,n.m.,,,
réunion,n.f.,,,
semaine ,n.f.,,,
seulement,adv. ,,,
société,n.f.,,,
soir,n.m.,,,
surprise ,n.f.,,,
tard,adv.,,,
tôt,adv.,,,
"tous,toutes",adv.,tout le week-end / tous les week-ends,,
travailler,v.i.,,,
vacances,n.f.pl.,,,
vers,prép.,,,
vie,n.f.,,,
voir,v.t.,"Je vois, Tu vois, Il/Elle voit, Nous voyons, Vous voyez, Ils/Elle voient",,
Leçon 15,,,,
athlétisme,n.m.,,,
boîte,n.f. 盒子 / 夜总会 / 公司,,,
campagne,n.f.,,,
course,n.f. 奔跑 / 购物,faire des / les courses,,
d’abord,,,,
déjeuner,n.m.,,,
dîner ,n.m.,,,
dormir,v.i.,,"Je dors, Tu dors, Il / Elle dort, Nous dormons, vous dormez, Ils / Elle dorment",
écouter,v.t.,écouter de la musique,,
écrire,v.t.,écrire un livre,"J’écris, Tu écris, Il / Elle écrit, Nous écrivons, Vous écrivez, Ils / Elles écrivent",
enfant,n.m.,,,
foot,n.m.,,,
footing ,n.m.,,,
"général,e",adj.,en général ,p.l. généraux,
gymnastique,n.f.,,,
habiller(s’),v.pr.,,,
jouer,v.t.,"jouer au football, basketball, tennis table, au cartes",,
,,"jouer du piano / violon, jouer de la guitare",,
laver(se) ,v.pr.,,,
lever(se),v.pr.,,,
lire,v.t. ,,"Je lis, Tu lis, Il/Elle lit, Nous lisons, Vous lisez, Ils/Elles lisent",
marché,n.m.,,,
ménage,n.m.,faire le ménage,,
natation,n.f.,"faire de la natation, aller à pisine, nager",,
petit-déjeuner,n.m.,prendre le petit-déjeuner,,
prendre,v.t.,,,
préparer,v.t. ,(+ q.n.)  La mère prépare les enfant,,
,,(+ q.ch.) Sa mère prépare le dîner.,,
reposer(se) ,v.pr.,,,
ski,n.m.,faire du ski,,
témoignage,n.m. ,,,
tennis,n.m.,,,
Leçon 16,,,,
"actuel,le",adj.,la situation actuelle,,
céréales,n.f.pl.,,,
"champion,ne",n.,,,
coucher(se),v.pr.,,,
détendre(se),v.pr.,,"Je me détends, Tu te détends, Il/Elle  se détends, Nous nous détendons, Vous vous détendez, Ils/Elles se détendent",
difficile,adj.,,Il est … de faire qch.,
endormir(se),v.pr.,,"Je m’endors Tu t’endors Il s’endort, Nous nous endormons, … ",
entraînement,n.m.,,,
entraîner(s’),v.pr.,,,
éviter,v.t.,,,
famille,n.f.,,,
fruit,n.m.,,,
"habituel,le",adj.,,,
janvier,n.m.,,,
jus,n.m.,,,
libre,n.m.,,,
"long,ue",adj.,,,
manger,v.t.,,"Nous mangeons, Vous mangez Il",
match,n.m.,,,
musculation,n.f.,,,
nager,v.i.,,,
"nouveau,nouvelle",adj.,,,
peu,adv.,,,
promener(se),v.pr.,,,
recommencer,v.,,,
regarder,v.t.,,,
reprendre,v.t.,,,
retourner,v.t.,,,
sortir,v.i.,,,
stress,n.m.,,,
terminer(se),v.pr.,,,
toilette,n.f.,,,
yaourt,n.m.,,,
Leçon 17,,,,
Il fait + n. ,,"Il fait du soleil, de la pluie, de la neige, du vent",,
Il fait + adj.,,"Il fait beau, froid, chaud",,
acheter,v.t.,,"J’achète, Tu achète, Il achète, nous achetons, vous achetez, Ils achètent",
assez,adv.,assez de,,
beurre,n.m.,,,
boire,v.t.,,"Je bois, Tu bois, Il boit, Nous buvons, Vous buvez, Il boivent",
bouteille,n.f.,,,
Chandeleur,,,,
cidre,n.m.,,,
coca,n.m.,,,
confiture,n.f.,,,
crêpe,n.f.,,,
eau,n.f.,,,
Il faut …,,,,
farine,n.f.,,,
fromage,n.m.,,,
gramme,n.m.,,,
inviter,v.t.,,,
kilo(gramme),n.m.,,,
lait,n.m.,,,
légumes,n.m.pl.,,,
liste,n.f.,,,
livre,n.f.,,,
litre,n.m.,,,
"minéral,e",adj.,eau minérale,,
"oeuf,oeufs",n.m.,,,
pain,n.m.,,,
poisson,n.m.,,,
pomme de terre,,,,
repas,n.m.,,,
riz,n.m.,,,
salade,n.f.,,,
sucre,n.m.,,,
supermarché,n.m.,,,
téléphoner,v.i.,,,
tout,n.m.,,,
viande,n.f.,,,
vin,n.m.,,,
Leçon 18,,,,
beau,adj.,,"beau, bel, belle",
cadeau,n.m.,,cadeaux,
"chaud,e",adj.,avoir chaud / frois / faim / soif,,
dessert,n.m.,,,
"excellent,e",adj.,,,
hier,adv.,,,
"inspecteur,trice",n,inspecteur de police,,
magasin,n.m.,,,
maison,n.f.,,rentrer à la maison,
pâtes,n.f.pl.,,,
pizza,n.f.,,,
"seul,e",adj. ,在n.前表示唯一的，在n.后表示孤单的，单独的,,
,,Ils ont une seule fille. / C’est une fille seule.,,
,,"faire qch. seul,e",,
tout,adj. / n.m.,,,
verre,n.m.,prendre un verre,,
avoir → eu,,,,
être → été,,,,
faire → fait,,,,
dormir → dormi,,,,
partir → parti,,,,
prendre → pris,,,,
boire → bu,,,,
lire → lu,,,,
vendre → vendu,,,,
voir → vu,,,,
vivre → vécu,,,,
écrire → écrit,,,,
aller/venir - allé/venu,,,,
entrer/sortir - entré/sorti,,,,
arriver/partir - arrivé/parti,,,,
monter/descendre - monté/descendu,,,,
rester - resté,,,,
tomber - tombé,,,,
devenir - devenu,,,,
naître/mourir - né/mort,,,,
Leçon 19,,,,
année,n.f.,,,
Barcelone,,,,
Bordeaux,,,,
bisou,n.m.,,,
descendre,v.i.,,"Je descends, Tu descends, Il descend, Nous descendons, Vous descendez, Il descendent",
fois,n.f.,,,
là-bas,adv.,,,
magnifique,adj.,,,
marcher,v.i.,,,
minute,n.f.,,,
monter,v.i.,,,
parc,n.m.,,,
république,n.f.,,,
rester,v.i.,,,
revenir,v.i.,,,
soirée,n.f.,,,
tomber,v.i.,,,
venir,v.i.,,"Je viens, Tu viens, Il vient, Nous venons, Vous venez, Ils viennent",
Leçon 20,,,,
arc,n.m.,arc de triomphe,,
Bonne année,,,,
"copain, copine",n.,,,
"dernier,ère",adj.,,,
enquête,n.f,faire une enquête,,
exister,v.i.,existence n.f.,,
fac,n.f.,faculté,,
fête,n.f.,,,
fêter,v.t.,,,
feu,n.m.,feu d’artifice,,
gâteau,n.m.,,,
groupe,n.m.,,,
juin,n.m.,,,
juillet,n.m.,,,
magazine,n.m.,,,
mariage,n.m.,se marier,,
moment,n.m. ,,,
muguet,n.m.,,,
Noël,n.m.,,,
nouvel an,,,,
papa,n.m.,,,
pâtisserie,n.f.,,,
petit ami,,,,
romantique,adj.,,,
la Saint-Valentin,,,,
souvenir,n.m.,se souvenir ,,
triomphe,n.m.,,,
Vienne,,,,
"Viennois,e",adj.,,,
Leçon 21,,,,
arrivée,n.f.,,,
"chien,ne",n.,C’est une vie de chien,,
chocolat,n.m.,,,
classe,n.f.,,,
donner,v.t.,,,
excuser,v.t.,,,
fumer,v.i.,,,
"interdit,e",adj.,Il est interdit de + faire qch.,,
"important,e",adj.,,,
médecin,n.m.,,,
"permis,e",adj.,permettre v.i.,,
place,n.f.,endroit n.m. 地方,,
portable,n.m. / adj.,téléphone portable,,
pouvoir,v.t.,"Je peux, Tu peux, Il peut, Nous pouvons, Vous pouvez, Il peuvent p.p. : pu",,
voiture,n.f.,,,
Leçon 22,,,,
avec,prep.,,,
allemand,n.m.,德语,,
"client,e",n.,,,
contacter,v.t.,,,
déjà,adv.,,,
dire,v.t.,,"Je dis, Tu dis, Il dit, Nous disons, Vous dites, Ils disent, p.p: dit",
dynamique,adj.,,,
école,n.f.,,,
entretien,n.m.,面试,,
"étranger,ère",adj.,,,
expérience,n.f.,,,
faible,adj.,,,
"fort,e",adj.,,,
indispensable,adj.,,,
italien,n.m.,,,
langue,n.f.,,,
lettre,n.f.,,,
mot,n.m.,,,
Nice,,,,
parfois,adv.,,,
point,n.m.,"point faible, point fort",,
"privé,e",adj.,,,
probleme,n.m.,,,
promenade,n.f.,,,
qualité,n.f.,,,
réceptionniste,n.,,,
réserver,v.t.,,,
restauration,n.f.,,,
savoir,v.t.,,"Je sais, Tu sais, Il sait, Nous savons, Vous savez, Ils savent, p.p. su",
"souriant,e",adj.,,,
vouloir,v.t.,,"Je veux, Tu veux, Il veut, Nous voulons, Vous voulez, Ils veulent, p.p: voulu",
Leçon 23,,,,
anniversaire,n.m.,生日；纪念日 joyeux / bon anniversaire,,
CD,n.m.,,,
choisir,v.t.,choix n.m. / choisir de faire qch.,,
collègue,n.m.,,,
connaître,v.t.,connaissance n.f.,"Je connais, Tu connais, Il connaît, Nous connaissons, Vous connaissez,  Ils connaisent p.p: connu",
goût,n.m.,,,
idée,n.f.,Bonne idée,,
"invité,e",n.,,,
laisser,v.t.,J’ai laissé mon livre dans la voiture,,
,,Laisse tomber / Laisse-moi calme,,
lieu,n.m.,lieu de naissance,,
"mauvais,e",adj. ,C’est une mauvaise idée.,,
offrir,v.t.,,"J’offre, Tu offres, Il offres Nous offrons, Vous offrez, Ils offrent p.p: offert",
original,adj.,p.l. originaux / Ce sont des films originaux.,,
peinture,n.f.,peindre v.t. dessin n.m. dessiner ,,
plat,n.m.,,,
pourquoi,adv.,,,
quelque chose,,,,
quitter,,,,
retraite,n.f.,partir à la retraite / prendre sa retraite,,
tenir,v.t.,,,
vrai,adj.,,,
Leçon 24,,,,
attention,n.f.,faire attention à,,
avant,prép,avant de / Il a fini les devoirs avant de se coucher,,
avec,prép,avec attention / patience / courage, ,
calme,adj.,,,
"candidat,e",n.,,,
cheveux ,n.m.pl.,,,
correctement,adv.,correcte adj.,,
"court,e",adj.,une fille avec des cheveux courts,,
entreprise,n.f.,entreprendre,,
exactement,adv.,,,
"familier,ère",adj.,,,
"idéal,e",adj.,,,
imaginer,v.t.,imagination n.f.,,
informatique ,adj. / n.f.,,,
matériel,n.m.,,,
oeil p.l. yeux,n.m.,,,
pendant,prép,pendant les vacances / six mois / Il est resté chez-lui pendant une semaine,,
peut-être,adv.,Il peut être français. / Il est peut-être français.,,
phrase,n.f.,,,
poser,v.t.,poser une question,,
présentation,n.f.,se présenter,,
question,n.f.,,,
raconter,v.t.,raconter qch. à qn. / raconter une hisoire,,
rechercher,v.t.,recherche n.f. = search / research,,
répondre,v.t.ind.,répondre à / Je lui répond / réponse n.f.,同détendre,
rester,v.i.,Il reste …  + COI / Il reste seulement une bouteille d’eau / Il me reste seulement un euro,,
réussir,v.t.,使……成功 / Nous avons réussi. ,,
utiliser,v.t.,utilisation n.f.,,
vendre,v.t.,,,
vie,n.f.,,,
Leçon 25,,,,
activité,n.f.,,,
adorer,v.t.,adorable / aimable,,
aujourd’hui,adv.,,,
détester,v.t.,+ inf. / Je déteste me lever tôt.,,
discothéque,n.f.,,,
Internet,n.m,sur Internet,,
"préféré,e",adj.,,,
préférer,v.t.,préférer A à B ,"Je préfère, Tu préfères, Il préfère, Nous préférons, Vous préférez, Ils préfèrent",
questionnaire,n.m.,,,
sexe,n.m.,,,
théâtre,n.m.,,,
Leçon 26,,,,
argent,n.m.,,,
attendre,v.t.,attendre un bébé / attente n.f.,"J’attends, Tu attends, Il attend, Nous attendons, Vous attendez, Ils attendent",
avantage,n.m.,"désavantage / inconvénient n.m. / avantageux,euse adj.",,
changer (de),v.t.ind.,changer de: 更换 / changer + n.: 改变 ,,
comment,,,,
comprendre,,compréhension n.f.,,
contre,n.m.,,,
ensemble,adv.,,,
espace,n.m.,espace vert,,
"fatigué,e",adj.,fatigant adj. 累人的,,
gagner,v.,"赚钱 / 赢, gagnant,e n. J’ai gagné!",,
gens,n.m.pl.,,,
ici,adv.,,,
imaginer(s’),v.,,,
inconvénient,n.m.,,,
marrier(se),v.,,,
monde,n.m., ,,
"ouvert,e",adj.,ouvrir,,
pasce que,,,,
penser,v.t.,penser à 想到，想念 / penser de 对……看法 / Je pense que…,,
,,Qu’est-ce que tu en penses / Qu’est-ce que tu penses de lui,,
pollution,n.f.,,,
pour,n.m.,,,
raison,n.f.,avoir raison / raisonnable,,
trop,adv.,,,
"tous,toute",,,,
vivre,v.i.,,"Je vis, Tu vis, Il vit, Nous vivons, Vous vivez, Ils vivent",
Leçon 27,,,,
amuser(s’),v.pr.,"amusant,e adj. ",,
arrêter,v.t.,arrêter + n. / arrêter de + faire qch.  / arrêt n.m. Arrêtez de parler!,,
baigner(se),v.pr.,浸泡；泡澡（在湖里/ 河里）游泳/ prendre une douche / bain / baignoire n.f. 浴缸,,
bref,adv.,,,
calmer(se),v.pr.,calmer-toi!,,
camping,n.m.,faire du camping,,
enfin,adv.,finalement adv. / a la fin ,,
